Code,nama,nama.1,energi_kkal,protein_g,lemak_g,karbohidrat_g,serat_g,abu_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,b_kar_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,isValidated,validatedBy
K420000,Ubi jalar batate,Ubi jalar batate,111.376672976,68.94,0.0,1.63,0.0,0.6,23.0,0.064,0.0,4.56,0.0,0.0,0.6,3.14,0.0,0.0,0.0,1426.0,0.0,True,www.nutrisurvey.de
K430111,Artichoke Yerusalem segar,Artichoke Yerusalem segar,31.07074568,78.465,0.0,2.44,0.0,0.41,23.0,0.2,0.0,0.2,0.0,0.0,1.3,12.51,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
K512011,Tapioka,Tapioka,349.426386032,12.19,0.0,0.58,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
K700121,Jamur segar dimasak,Jamur segar dimasak,15.057361368,93.315,0.0,2.741,0.0,0.24,16.0,0.089,0.0,0.089,0.0,0.0,4.624,2.098,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
K700922,Jamur kalengan dimasak ditiriskan,Jamur kalengan dimasak ditiriskan,14.101338424,92.938,0.0,2.59,0.0,0.226,17.0,0.042,0.0,0.093,0.0,0.0,2.717,2.047,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
K701021,Champignon matang,Champignon matang,15.057361368,93.315,0.0,2.741,0.0,0.24,16.0,0.089,0.0,0.089,0.0,0.0,4.624,2.098,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
K701111,Champignon segar,Champignon segar,15.296367104,93.28,0.0,2.74,0.0,0.24,14.0,0.1,0.0,0.08,0.0,0.0,5.2,2.03,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
K701922,Champignon kalengan yang dimasak ditiriskan,Champignon kalengan yang dimasak ditiriskan,14.101338424,92.938,0.0,2.59,0.0,0.226,17.0,0.042,0.0,0.093,0.0,0.0,2.717,2.047,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
K713111,Chanterelle segar,Chanterelle segar,11.472275328,91.069,0.0,1.571,0.0,0.5,15.0,0.02,0.0,0.06,0.0,0.0,6.5,5.6,0.0,0.0,0.0,217.0,0.0,True,www.nutrisurvey.de
K713411,Chanterelle mengering,Chanterelle mengering,120.219885208,8.001,0.0,16.369,0.0,5.213,156.0,0.156,0.0,0.624,0.0,0.0,57.556,58.336,0.0,0.0,0.0,1355.0,0.0,True,www.nutrisurvey.de
K713911,Chanterelle kalengan,Chanterelle kalengan,6.692160608,94.384,0.0,0.899,0.0,0.286,9.0,0.007,0.0,0.034,0.0,0.0,2.975,3.204,0.0,0.0,0.0,106.0,0.0,True,www.nutrisurvey.de
K718111,Itu segar,Itu segar,19.837476088,87.671,0.0,3.603,0.0,0.4,15.0,0.033,0.0,0.04,0.0,0.0,4.9,6.89,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
K718411,Cepe dikeringkan,Cepe dikeringkan,148.900573528,8.001,0.0,27.073,0.0,3.003,113.0,0.188,0.0,0.3,0.0,0.0,31.3,51.773,0.0,0.0,0.0,8.0,0.0,True,www.nutrisurvey.de
K718911,Cèpe kalengan,Cèpe kalengan,11.233269592,92.433,0.0,2.061,0.0,0.229,9.0,0.011,0.0,0.023,0.0,0.0,2.242,3.941,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
K724111,Shiitake jamur segar,Shiitake jamur segar,42.065009536,83.64,0.0,1.562,0.0,0.22,15.0,0.037,0.0,0.1,0.0,0.0,2.0,1.961,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
K731011,Jamur hutan,Jamur hutan,15.057361368,88.423,0.0,2.116,0.0,0.68,15.0,0.1,0.0,0.1,0.0,0.0,5.0,7.59,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
K850311,Sup krim Champignon mengalami dehidrasi,Sup krim Champignon mengalami dehidrasi,391.013384096,4.702,0.0,10.2,0.0,25.0,0.0,1.2,0.0,0.0,0.0,0.0,2.3,0.3,0.0,0.0,0.0,3.0,0.0,True,www.nutrisurvey.de
L011211,Roti coklat dengan permen karet kacang carob rendah protein bebas gluten,Roti coklat dengan permen karet kacang carob rendah protein bebas gluten,221.797323008,43.189,0.0,1.072,0.0,1.194,14.0,0.032,0.0,0.191,0.0,0.0,0.194,1.566,0.0,0.0,0.0,10.0,0.0,True,www.nutrisurvey.de
L012511,Wafel rendah protein bebas gluten,Wafel rendah protein bebas gluten,370.219885064,11.026,0.0,0.427,0.0,3.416,19.0,0.0,0.0,1.554,0.0,0.0,0.028,1.291,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
L032811,Biskuit rendah protein bebas gluten rendah sodium,Biskuit rendah protein bebas gluten rendah sodium,235.42064996,40.723,0.0,0.323,0.0,0.305,6.0,0.0,0.0,0.129,0.0,0.0,0.006,1.206,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
L131111,Campuran tepung untuk roti bebas gluten,Campuran tepung untuk roti bebas gluten,349.187380296,12.475,0.0,1.952,0.0,0.617,24.0,0.084,0.0,0.213,0.0,0.0,0.395,1.968,0.0,0.0,0.0,10.0,0.0,True,www.nutrisurvey.de
L132811,Zwieback bebas gluten,Zwieback bebas gluten,435.468450992,8.0,0.0,7.677,0.0,16.098,32.0,0.244,0.0,8.764,0.0,0.0,1.633,2.12,0.0,0.0,0.0,73.0,0.0,True,www.nutrisurvey.de
L133211,Roti wafel-jagung bebas gluten,Roti wafel-jagung bebas gluten,335.325047608,17.367,0.0,4.435,0.0,3.49,29.0,0.189,0.0,0.562,0.0,0.0,0.939,2.475,0.0,0.0,0.0,25.0,0.0,True,www.nutrisurvey.de
L133711,Roti millet bebas gluten,Roti millet bebas gluten,253.107074424,33.489,0.0,4.41,0.0,2.226,13.0,0.179,0.0,0.825,0.0,0.0,1.055,5.152,0.0,0.0,0.0,10.0,0.0,True,www.nutrisurvey.de
L133811,Roti kastanye bebas gluten,Roti kastanye bebas gluten,177.581261848,54.782,0.0,1.361,0.0,0.823,11.0,0.061,0.0,0.355,0.0,0.0,0.378,1.657,0.0,0.0,0.0,6.0,0.0,True,www.nutrisurvey.de
L134111,Biskuit jagung bebas gluten,Biskuit jagung bebas gluten,438.57552556,7.419,0.0,5.359,0.0,16.293,23.0,0.103,0.0,9.409,0.0,0.0,0.395,1.922,0.0,0.0,0.0,8.0,0.0,True,www.nutrisurvey.de
L216111,Bar energi dengan krim hazelnut,Bar energi dengan krim hazelnut,461.28107048,6.871,0.0,10.52,0.0,27.511,10.0,0.291,0.0,11.942,0.0,0.0,1.313,9.386,0.0,0.0,0.0,27.0,0.0,True,www.nutrisurvey.de
L310011,Gula untuk penderita diabetes,Gula untuk penderita diabetes,236.61567864,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
L320011,Spread untuk penderita diabetes,Spread untuk penderita diabetes,271.988527568,21.77,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
L323011,Mengawetkan selai dengan pengganti gula dan pemanis,Mengawetkan selai dengan pengganti gula dan pemanis,69.072657704,78.974,0.0,0.267,0.0,0.228,4.0,0.007,0.0,0.634,0.0,0.0,0.137,1.864,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
L330011,Cokelat untuk penderita diabetes,Cokelat untuk penderita diabetes,409.177820032,1.534,0.0,11.06,0.0,10.055,1.0,0.094,0.0,0.163,0.0,0.0,0.74,6.546,0.0,0.0,0.0,4.0,0.0,True,www.nutrisurvey.de
L340011,Permen untuk penderita diabetes,Permen untuk penderita diabetes,246.17590808,2.294,0.0,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
L360011,Produk roti untuk penderita diabetes,Produk roti untuk penderita diabetes,351.816443392,8.002,0.0,20.815,0.0,9.039,29.0,0.574,0.0,4.486,0.0,0.0,6.718,12.534,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
L364111,Makanan gandum utuh untuk penderita diabetes,Makanan gandum utuh untuk penderita diabetes,351.816443392,8.002,0.0,20.815,0.0,9.039,29.0,0.574,0.0,4.486,0.0,0.0,6.718,12.534,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
L370011,Biskuit untuk penderita diabetes,Biskuit untuk penderita diabetes,414.435946224,11.529,0.0,10.43,0.0,21.669,37.0,0.681,0.0,10.233,0.0,0.0,7.279,9.314,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
L413011,Tablet campuran sakarin-siklamat,Tablet campuran sakarin-siklamat,252.868068688,7.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
L420011,Sosis dan produk daging rendah lemak,Sosis dan produk daging rendah lemak,217.973231232,63.314,0.0,16.833,0.0,16.781,13.0,0.655,0.0,0.248,0.0,0.0,2.396,0.064,0.0,0.0,0.0,3.0,0.0,True,www.nutrisurvey.de
L451011,Yoghurt dengan buah dan pemanis,Yoghurt dengan buah dan pemanis,64.292542984,86.325,0.0,3.097,0.0,3.462,5.0,0.038,0.0,0.118,0.0,0.0,0.097,0.96,0.0,0.0,0.0,30.0,0.0,True,www.nutrisurvey.de
L452011,Dadih dengan buah dan pemanis,Dadih dengan buah dan pemanis,73.13575521599999,80.286,0.0,12.277,0.0,0.222,1.0,0.038,0.0,0.048,0.0,0.0,0.151,0.96,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
L453011,Susu asam dengan buah dan pemanis,Susu asam dengan buah dan pemanis,62.380497096,86.553,0.0,3.186,0.0,3.192,4.0,0.038,0.0,0.138,0.0,0.0,0.097,0.96,0.0,0.0,0.0,40.0,0.0,True,www.nutrisurvey.de
L461011,Jus jeruk dengan pemanis,Jus jeruk dengan pemanis,22.466539184,94.011,0.0,0.459,0.0,0.082,1.0,0.032,0.0,0.122,0.0,0.0,0.123,0.112,0.0,0.0,0.0,8.0,0.0,True,www.nutrisurvey.de
L461911,Minuman multi vitamin dengan pemanis,Minuman multi vitamin dengan pemanis,31.548757152,91.839,0.0,0.469,0.0,0.131,3.0,0.019,0.0,0.175,0.0,0.0,0.261,0.0,0.0,0.0,0.0,9.0,0.0,True,www.nutrisurvey.de
L510011,Pengganti garam dan rempah rendah sodium dan tinggi mineral,Pengganti garam dan rempah rendah sodium dan tinggi mineral,0.0,10.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
M012000,Keju domba,Keju domba,236.61567864,58.601,0.0,17.0,0.0,18.8,30.0,0.04,0.0,0.49,0.0,0.0,0.2,0.0,0.0,0.0,0.0,228.0,0.0,True,www.nutrisurvey.de
M012111,roquefort,roquefort,361.376672832,40.963,0.0,21.0,0.0,31.0,0.0,0.04,0.0,0.75,0.0,0.0,0.73,0.0,0.0,0.0,0.0,318.0,0.0,True,www.nutrisurvey.de
M012211,feta,feta,236.61567864,58.601,0.0,17.0,0.0,18.8,30.0,0.04,0.0,0.49,0.0,0.0,0.2,0.0,0.0,0.0,0.0,228.0,0.0,True,www.nutrisurvey.de
M032111,keju mozzarella,keju mozzarella,254.780114576,57.779,0.0,19.0,0.0,19.8,20.0,0.035,0.0,0.59,0.0,0.0,0.3,0.0,0.0,0.0,0.0,297.0,0.0,True,www.nutrisurvey.de
M110030,Susu sapi direbus,Susu sapi direbus,65.487571664,87.266,0.0,3.359,0.0,3.563,4.0,0.024,0.0,0.057,0.0,0.0,0.082,0.0,0.0,0.0,0.0,30.0,0.0,True,www.nutrisurvey.de
M110130,Susu sapi skim direbus,Susu sapi skim direbus,36.806883344,90.254,0.0,3.564,0.0,0.102,0.0,0.024,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
M110230,Susu sapi skim direbus sebagian,Susu sapi skim direbus sebagian,49.474187352,88.963,0.0,3.462,0.0,1.629,2.0,0.024,0.0,0.03,0.0,0.0,0.082,0.0,0.0,0.0,0.0,13.0,0.0,True,www.nutrisurvey.de
M111111,Susu sapi cair susu skim,Susu sapi cair susu skim,36.089866136,90.43,0.0,3.5,0.0,0.1,0.0,0.04,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
M111211,Susu sapi susu cair rendah lemak,Susu sapi susu cair rendah lemak,48.518164408,89.16,0.0,3.4,0.0,1.6,2.0,0.04,0.0,0.037,0.0,0.0,0.09,0.0,0.0,0.0,0.0,14.0,0.0,True,www.nutrisurvey.de
M111311,Susu sapi cair min 45% lemak bahan kering,Susu sapi cair min 45% lemak bahan kering,64.292542984,87.489,0.0,3.3,0.0,3.501,4.0,0.04,0.0,0.07,0.0,0.0,0.09,0.0,0.0,0.0,0.0,33.0,0.0,True,www.nutrisurvey.de
M112311,Susu bersertifikat susu sapi min 45% bahan kering lemak,Susu bersertifikat susu sapi min 45% bahan kering lemak,67.160611816,87.15,0.0,3.3,0.0,3.8,4.0,0.04,0.0,0.128,0.0,0.0,0.09,0.0,0.0,0.0,0.0,43.0,0.0,True,www.nutrisurvey.de
M120000,Susu kental junket,Susu kental junket,63.575525776,87.613,0.0,3.399,0.0,3.5,4.0,0.04,0.0,0.11,0.0,0.0,0.09,0.0,0.0,0.0,0.0,43.0,0.0,True,www.nutrisurvey.de
M120100,Susu kental junket skim,Susu kental junket skim,34.177820248,90.674,0.0,3.4,0.0,0.1,0.0,0.04,0.0,0.001,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
M120200,Susu kental Junket sebagian skim,Susu kental Junket sebagian skim,46.128107048,89.463,0.0,3.4,0.0,1.5,2.0,0.04,0.0,0.05,0.0,0.0,0.09,0.0,0.0,0.0,0.0,22.0,0.0,True,www.nutrisurvey.de
M120500,Susu kental Junket 10% lemak,Susu kental Junket 10% lemak,118.546845056,81.75,0.0,3.1,0.0,10.0,10.0,0.04,0.0,0.31,0.0,0.0,0.09,0.0,0.0,0.0,0.0,120.0,0.0,True,www.nutrisurvey.de
M123311,*Schwedenmilch min 45% bahan kering lemak,*Schwedenmilch min 45% bahan kering lemak,66.443594608,86.916,0.0,3.399,0.0,3.501,4.0,0.038,0.0,0.11,0.0,0.0,0.08,0.0,0.0,0.0,0.0,60.0,0.0,True,www.nutrisurvey.de
M130000,kefir,kefir,49.713193088,88.887,0.0,3.4,0.0,1.5,2.0,0.04,0.0,0.04,0.0,0.0,0.09,0.0,0.0,0.5,0.0,22.0,0.0,True,www.nutrisurvey.de
M130100,Kefir membaca sekilas,Kefir membaca sekilas,37.762906288,90.151,0.0,3.448,0.0,0.1,2.0,0.041,0.0,0.041,0.0,0.0,0.091,0.0,0.0,0.507,0.0,22.0,0.0,True,www.nutrisurvey.de
M141111,Yoghurt disaring,Yoghurt disaring,38.001912024,89.7,0.0,4.3,0.0,0.1,1.0,0.03,0.0,0.002,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
M141211,Yoghurt disaring sebagian,Yoghurt disaring sebagian,46.128107048,89.45,0.0,3.4,0.0,1.5,2.0,0.03,0.0,0.04,0.0,0.0,0.1,0.0,0.0,0.0,0.0,22.0,0.0,True,www.nutrisurvey.de
M141311,Yoghurt min 45% bahan kering lemak,Yoghurt min 45% bahan kering lemak,65.7265774,87.36,0.0,3.3,0.0,3.8,5.0,0.04,0.0,0.087,0.0,0.0,0.09,0.0,0.0,0.0,0.0,33.0,0.0,True,www.nutrisurvey.de
M150000,Dadih,Dadih,35.8508604,90.84,0.0,3.2,0.0,0.5,1.0,0.03,0.0,0.02,0.0,0.0,0.1,0.0,0.0,0.0,0.0,9.0,0.0,True,www.nutrisurvey.de
M160000,Air dadih,Air dadih,24.856596544,93.56,0.0,0.82,0.0,0.24,0.0,0.04,0.0,0.001,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.0,0.0,True,www.nutrisurvey.de
M171000,krim kopi,krim kopi,202.915869864,73.02,0.0,2.8,0.0,20.0,20.0,0.04,0.0,0.46,0.0,0.0,0.1,0.0,0.0,0.0,0.0,240.0,0.0,True,www.nutrisurvey.de
M172500,Krim asam 10 % lemak,Krim asam 10 % lemak,116.634799168,82.24,0.0,3.1,0.0,10.0,10.0,0.04,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,120.0,0.0,True,www.nutrisurvey.de
M172700,Krim asam 20 % lemak,Krim asam 20 % lemak,204.34990428,72.6,0.0,2.8,0.0,20.0,20.0,0.04,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,240.0,0.0,True,www.nutrisurvey.de
M172800,Krim asam 30 % lemak,Krim asam 30 % lemak,287.762906144,63.8,0.0,2.5,0.0,30.0,30.0,0.03,0.0,0.9,0.0,0.0,0.09,0.0,0.0,0.0,0.0,360.0,0.0,True,www.nutrisurvey.de
M172900,Krim asam 40 % lemak,Krim asam 40 % lemak,390.535372624,52.695,0.0,2.1,0.0,42.0,45.0,0.03,0.0,1.3,0.0,0.0,0.09,0.0,0.0,0.0,0.0,502.0,0.0,True,www.nutrisurvey.de
M173800,Krim kocok 30% lemak,Krim kocok 30% lemak,288.479923352,63.8,0.0,2.5,0.0,30.0,30.0,0.03,0.0,0.9,0.0,0.0,0.09,0.0,0.0,0.0,0.0,360.0,0.0,True,www.nutrisurvey.de
M181500,Susu kental manis bergula 10% lemak,Susu kental manis bergula 10% lemak,342.734225424,25.583,0.0,8.022,0.0,10.0,10.0,0.088,0.0,0.196,0.0,0.0,0.215,0.0,0.0,0.0,0.0,96.0,0.0,True,www.nutrisurvey.de
M182311,Susu kental 4% lemak,Susu kental 4% lemak,110.659655768,75.786,0.0,7.5,0.0,4.0,4.0,0.07,0.0,0.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0,43.0,0.0,True,www.nutrisurvey.de
M182411,"Susu kental 7,5 % lemak","Susu kental 7,5 % lemak",133.126194952,74.44,0.0,6.5,0.0,7.5,8.0,0.06,0.0,0.17,0.0,0.0,0.18,0.0,0.0,0.0,0.0,82.0,0.0,True,www.nutrisurvey.de
M182511,Susu kental 10% lemak,Susu kental 10% lemak,176.386233168,66.28,0.0,8.8,0.0,10.0,10.0,0.08,0.0,0.23,0.0,0.0,0.24,0.0,0.0,0.0,0.0,120.0,0.0,True,www.nutrisurvey.de
M216011,Susu cair dengan coklat coklat,Susu cair dengan coklat coklat,130.736137592,70.246,0.0,3.355,0.0,3.581,3.0,0.04,0.0,0.079,0.0,0.0,0.137,0.78,0.0,0.0,0.0,26.0,0.0,True,www.nutrisurvey.de
M221200,Junket rendah lemak dengan buah,Junket rendah lemak dengan buah,82.695984656,79.398,0.0,2.942,0.0,1.279,2.0,0.035,0.0,0.071,0.0,0.0,0.087,0.92,0.0,0.0,0.0,19.0,0.0,True,www.nutrisurvey.de
M221500,Junket 10% dengan buah,Junket 10% dengan buah,143.881453072,73.241,0.0,2.767,0.0,8.7,4.0,0.033,0.0,0.114,0.0,0.0,0.082,0.865,0.0,0.0,0.0,34.0,0.0,True,www.nutrisurvey.de
M223000,Junket dengan muesli,Junket dengan muesli,123.804971248,71.818,0.0,4.283,0.0,3.89,8.0,0.096,0.0,0.535,0.0,0.0,0.41,1.209,0.0,0.0,0.0,36.0,0.0,True,www.nutrisurvey.de
M241000,Yoghurt dengan buah,Yoghurt dengan buah,98.948374704,77.652,0.0,2.859,0.0,3.188,4.0,0.035,0.0,0.102,0.0,0.0,0.087,0.92,0.0,0.0,0.0,28.0,0.0,True,www.nutrisurvey.de
M241200,Yoghurt rendah lemak dengan buah,Yoghurt rendah lemak dengan buah,82.695984656,79.387,0.0,2.942,0.0,1.279,2.0,0.027,0.0,0.063,0.0,0.0,0.095,0.92,0.0,0.0,0.0,19.0,0.0,True,www.nutrisurvey.de
M241300,Yoghurt min 45% bahan kering lemak dengan buah,Yoghurt min 45% bahan kering lemak dengan buah,98.948374704,77.652,0.0,2.859,0.0,3.188,4.0,0.035,0.0,0.102,0.0,0.0,0.087,0.92,0.0,0.0,0.0,28.0,0.0,True,www.nutrisurvey.de
M241500,Yoghurt 10% dengan buah,Yoghurt 10% dengan buah,143.642447336,73.23,0.0,2.696,0.0,8.7,4.0,0.033,0.0,0.096,0.0,0.0,0.082,0.868,0.0,0.0,0.0,27.0,0.0,True,www.nutrisurvey.de
M243000,Yoghurt dengan muesli,Yoghurt dengan muesli,125.717017136,71.616,0.0,4.204,0.0,4.13,9.0,0.096,0.0,0.517,0.0,0.0,0.41,1.209,0.0,0.0,0.0,28.0,0.0,True,www.nutrisurvey.de
M252000,Buttermilk dengan tambahan produk buah,Buttermilk dengan tambahan produk buah,74.569789632,81.251,0.0,2.752,0.0,0.444,1.0,0.027,0.0,0.037,0.0,0.0,0.094,0.082,0.0,0.0,0.0,8.0,0.0,True,www.nutrisurvey.de
M300000,Keju keras,Keju keras,294.694072488,43.497,0.0,31.9,0.0,18.2,20.0,0.04,0.0,0.55,0.0,0.0,0.1,0.0,0.0,0.0,0.0,218.0,0.0,True,www.nutrisurvey.de
M300111,Keju keras dengan kandungan bahan kering lemak paling banyak 10%.,Keju keras dengan kandungan bahan kering lemak paling banyak 10%.,167.3040152,53.68,0.0,37.896,0.0,1.0,13.0,0.045,0.0,0.392,0.0,0.0,0.112,0.0,0.0,0.0,0.0,159.0,0.0,True,www.nutrisurvey.de
M300411,Keju keras min 30% bahan kering lemak,Keju keras min 30% bahan kering lemak,356.596558112,32.559,0.0,38.5,0.0,22.5,25.0,0.03,0.0,0.61,0.0,0.0,0.2,0.0,0.0,0.0,0.0,273.0,0.0,True,www.nutrisurvey.de
M300611,Keju keras min 45% bahan kering lemak,Keju keras min 45% bahan kering lemak,383.365200544,36.921,0.0,28.7,0.0,30.0,30.0,0.05,0.0,0.534,0.0,0.0,0.1,0.0,0.0,0.0,0.0,343.0,0.0,True,www.nutrisurvey.de
M300700,Keju keras min 50% bahan kering lemak,Keju keras min 50% bahan kering lemak,406.070745464,33.553,0.0,29.0,0.0,32.3,35.0,0.05,0.0,0.77,0.0,0.0,0.1,0.0,0.0,0.0,0.0,433.0,0.0,True,www.nutrisurvey.de
M302611,Keju alpine min 45% bahan kering lemak,Keju alpine min 45% bahan kering lemak,384.082217752,36.821,0.0,28.9,0.0,30.0,30.0,0.04,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,360.0,0.0,True,www.nutrisurvey.de
M303011,chester,chester,367.590821968,38.713,0.0,27.0,0.0,28.8,30.0,0.04,0.0,0.86,0.0,0.0,0.1,0.0,0.0,0.0,0.0,348.0,0.0,True,www.nutrisurvey.de
M304600,Emmenthal min 45% bahan kering lemak,Emmenthal min 45% bahan kering lemak,383.365200544,36.921,0.0,28.7,0.0,30.0,30.0,0.05,0.0,0.534,0.0,0.0,0.1,0.0,0.0,0.0,0.0,343.0,0.0,True,www.nutrisurvey.de
M305011,Gruyere,Gruyere,406.070745464,33.553,0.0,29.0,0.0,32.3,35.0,0.05,0.0,0.77,0.0,0.0,0.1,0.0,0.0,0.0,0.0,433.0,0.0,True,www.nutrisurvey.de
M306000,parmesan,parmesan,440.248565712,26.969,0.0,32.3,0.0,34.8,35.0,0.03,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,415.0,0.0,True,www.nutrisurvey.de
M307711,Raquelette min 50% bahan kering lemak,Raquelette min 50% bahan kering lemak,342.97323116,43.945,0.0,22.7,0.0,28.0,28.0,0.04,0.0,0.84,0.0,0.0,0.1,0.0,0.0,0.0,0.0,338.0,0.0,True,www.nutrisurvey.de
M309611,Jarlsberg min 45% bahan kering lemak,Jarlsberg min 45% bahan kering lemak,349.426386032,41.024,0.0,26.7,0.0,26.9,26.0,0.02,0.0,0.81,0.0,0.0,0.1,0.0,0.0,0.0,0.0,327.0,0.0,True,www.nutrisurvey.de
M314711,Cheddar min 50% bahan kering lemak,Cheddar min 50% bahan kering lemak,405.11472252,36.12,0.0,24.7,0.0,34.0,35.0,0.03,0.0,0.84,0.0,0.0,0.1,0.0,0.0,0.0,0.0,403.0,0.0,True,www.nutrisurvey.de
M400000,"Keju maksimal 0,2g CaCl2 l susu ditambahkan","Keju maksimal 0,2g CaCl2 l susu ditambahkan",354.206500752,41.9,0.0,24.8,0.0,28.3,30.0,0.04,0.0,0.42,0.0,0.0,0.1,0.0,0.0,0.0,0.0,305.0,0.0,True,www.nutrisurvey.de
M400400,"Keju maks 0,2g CaCl2 l susu ditambah min 30% lemak d m","Keju maks 0,2g CaCl2 l susu ditambah min 30% lemak d m",255.73613752,50.825,0.0,27.365,0.0,16.0,16.0,0.04,0.0,0.415,0.0,0.0,0.1,0.0,0.0,0.0,0.0,197.0,0.0,True,www.nutrisurvey.de
M400500,"Keju maks 0,2g CaCl2 l susu ditambah min 40% lemak d m","Keju maks 0,2g CaCl2 l susu ditambah min 40% lemak d m",313.09751416,45.052,0.0,26.236,0.0,23.0,23.0,0.04,0.0,0.673,0.0,0.0,0.101,0.0,0.0,0.0,0.0,273.0,0.0,True,www.nutrisurvey.de
M400600,"Keju maks 0,2g CaCl2 l susu ditambah min 45% lemak d m","Keju maks 0,2g CaCl2 l susu ditambah min 45% lemak d m",344.407265576,42.659,0.0,25.25,0.0,27.0,31.0,0.041,0.0,0.428,0.0,0.0,0.102,0.0,0.0,0.0,0.0,311.0,0.0,True,www.nutrisurvey.de
M400700,"Keju maks 0,2g CaCl2 l susu ditambah min 50% lemak d m","Keju maks 0,2g CaCl2 l susu ditambah min 50% lemak d m",356.596558112,43.135,0.0,21.875,0.0,30.0,30.0,0.037,0.0,0.885,0.0,0.0,0.082,0.0,0.0,0.0,0.0,358.0,0.0,True,www.nutrisurvey.de
M401000,edam,edam,354.206500752,41.9,0.0,24.8,0.0,28.3,30.0,0.04,0.0,0.42,0.0,0.0,0.1,0.0,0.0,0.0,0.0,305.0,0.0,True,www.nutrisurvey.de
M402000,gouda,gouda,364.961758872,40.098,0.0,25.5,0.0,29.2,25.0,0.04,0.0,0.76,0.0,0.0,0.1,0.0,0.0,0.0,0.0,305.0,0.0,True,www.nutrisurvey.de
M403000,miring,miring,354.206500752,40.349,0.0,26.3,0.0,27.7,27.0,0.05,0.0,0.76,0.0,0.0,0.21,0.0,0.0,0.0,0.0,305.0,0.0,True,www.nutrisurvey.de
M406011,fontina,fontina,382.4091776,38.472,0.0,25.6,0.0,31.14,30.0,0.021,0.0,0.6,0.0,0.0,0.15,0.0,0.0,0.0,0.0,297.0,0.0,True,www.nutrisurvey.de
M500000,"Keju maks 0,2g CaCl2 l susu ditambah setengah keras","Keju maks 0,2g CaCl2 l susu ditambah setengah keras",291.108986448,48.274,0.0,20.8,0.0,23.0,23.0,0.05,0.0,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,273.0,0.0,True,www.nutrisurvey.de
